AÃ‘OS,Total(Edad Laboral),Zona urbana(Edad Laboral),Zona rural(Edad Laboral),Total,Zona urbana,Zona rural
Provincia(2019),260252,213569,46683,146053,121376,24677
Aguada,19898,17719,2179,11945,10716,1229
Rodas,21501,14589,6912,12010,8340,3670
Palmira,20686,16715,3971,11828,9702,2126
Lajas,13520,9289,4231,8149,5832,2317
Cruces,18661,13233,5428,11129,7 933,3196
Cumanayagua,30723,20014,10709,17578,12019,5559
Cienfuegos,115548,108172,7376,62410,58802,3608
Abreus,19 715,13 838,5877,11004,8032,2972
Provincia(2020),259501,137295,122206,146743,67272,79471
Aguada,19925,10588,9337,11871,5622,6249
Rodas,21330,11487,9843,11987,5595,6392
Palmira,20 642,11019,9623,11731,5371,6360
Lajas,13484,7287,6197,8060,3836,4224
Cruces,18593,10040,8553,11017,5063,5954
Cumanayagua,30519,16499,14020,17589,8286,9303
Cienfuegos,115294,59709,55585,63548,28289,35259
Abreus,19714,10 666,9048,10940,5210,5730
Provincia(2021),257826,211491,46335,74218,60446,13772
Aguada,19868,17668,2200,5977,5286,0691
Rodas,21151,14305,6846,6362,4252,2110
Palmira,20552,16607,3945,5916,4642,1274
Lajas,13378,9208,4170,4293,2922,1371
Cruces,18432,13039,5393,5925,4006,1919
Cumanayagua,30245,19680,10565,9057,6126,2931
Cienfuegos,114641,107234,74073,16292,9777,1852
Abreus,19559,13750,5809,5059,3435,1624
Provincia(2022),255940,136399,119541,145798,65423,80375
Aguada,19668,10509,9159,11611,5379,6232
Rodas,21015,11378,9637,11704,5361,6343
Palmira,20339,10914,9425,11474,5142,6332
Lajas,13263,7194,6069,7924,3748,4176
Cruces,18263,9938,8325,10714,4805,5909
Cumanayagua,29864,16286,13578,17254,7953,9301
Cienfuegos,114147,59650,54497,64221,27913,36308
Abreus,19381,10530,8851,10896,5122,5774
