PROCEDENCIA/DESTINO,Total,Pinar del Río,Artemisa,La Habana,Mayabeque,Matanzas,Villa Clara,Cienfuegos,Sancti Spíritus,Ciego de Ávila,Camagüey,Las Tunas,Holguín,Granma,Santiago de Cuba,Guantánamo,Isla de la Juventud
2012,,,,,,,,,,,,,,,,,
Cuba,68407,1086,4982,19399,4616,7476,2967,2361,2872,4091,2694,2985,3973,3505,2896,1739,765
Hombres,29517,587,2831,3668,2466,3956,1579,1225,1401 ,2108,1373,1567,2108,1857,1496,876,419
Mujeres,38890,499,2151,15731,2150,3520,1388,1136,1471 ,1983,1321,1418,1865,1648,1400,863,346
Pinar del Río,2414,-,641,1179,111,136,31,47,23,32,23,28,33,39,26,29,36
Hombres,849,-,324,214,54,77,15,22,10 ,14,12,15,20,21,18,16,17
Mujeres,1565,-,317,965,57,59,16,25,13 ,18,11,13,13,18,8,13,19
Artemisa,3358,391,-,1805,194,107,56,42,40,62,60,75,133,177,129,60,27
Hombres,1123,202,-,310,94,51,28,22,18,32,26,44,77,95,73,35,16
Mujeres,2235,189,-,1495,100,56,28,20,22,30,34,31,56,82,56,25,11
La Habana,5035,235,748,-,738,498,369,201,202,225,158,216,407,381,321,176,160
Hombres,2770,128,415,-,393,265,191,106,105,126,83,121,240,206,179,105,107
Mujeres,2265,107,333,-,345,233,178,95,97,99,75,95,167,175,142,71,53
Mayabeque,3393,37,219,1881,-,374,53,54,44,51,41,48,116,231,111,83,50
Hombres,1193,20,113,404,-,180,30,24,24,27,19,23,65,134,57,45,28
Mujeres,2200,17,106,1477,-,194,23,30,20,24,22,25,51,97,54,38,22
Matanzas,2925,46,100,776,230,-,344,252,114,100,95,93,194,271,196,95,19
Hombres,1335,26,57,156,125,-,194,135,53,54,43,56,107,161,105,50,13
Mujeres,1590,20,43,620,105,-,150,117,61,46,52,37,87,110,91,45,6
Villa Clara,3393,20,80,904,80,896,-,532,392,147,64,60,88,54,43,30,3
Hombres,1252,13,47,147,34,476,-,265,89,44,30,30,41,22,8,6,
Mujeres,2141,7,33,757,46,420,-,267,303,103,34,30,47,32,35,24,3
Cienfuegos,1879,14,40,435,54,311,382,-,167,79,49,53,94,78,70,37,16
Hombres,868,11,22,81,22,170,209,-,103,42,30,19,54,46,33,18,8
Mujeres,1011,3,18,354,32,141,173,-,64,37,19,34,40,32,37,19,8
Sancti Spíritus,2514,17,58,472,58,241,660,176,-,387,88,52,142,65,43,38,17
Hombres,1190,10,37,101,28,136,343,87,-,218,43,29,76,35,20,17,10
Mujeres,1324,7,21,371,30,105,317,89,-,169,45,23,66,30,23,21,7
Ciego de Ávila,2846,16,99,629,113,246,176,71,427,-,211,98,242,269,156,82,11
Hombres,1283,7,47,105,68,114,90,32,223,-,113,53,141,144,94,47,5
Mujeres,1563,9,52,524,45,132,86,39,204,-,98,45,101,125,62,35,6
Camagüey,6039,28,249,1372,205,576,177,211,323,814,-,748,435,379,280,201,41
Hombres,2723,16,156,251,112,316,104,110,168,419,-,407,206,192,151,90,25
Mujeres,3316,12,93,1121,93,260,73,101,155,395,-,341,229,187,129,111,16
Las Tunas,3892,36,199,915,171,345,90,96,170,215,563,-,586,269,137,67,33
Hombres,1785,15,133,172,103,197,53,56,93,109,309,-,303,135,58,30,19
Mujeres,2107,21,66,743,68,148,37,40,77,106,254,-,283,134,79,37,14
Holguín,7800,60,475,2294,435,727,203,215,350,622,418,708,-,440,425,349,79
Hombres,3349,31,276,413,232,388,105,114,187,333,221,386,-,227,214,180,42
Mujeres,4451,29,199,1881,203,339,98,101,163,289,197,322,-,213,211,169,37
Granma,7625,66,707,1931,905,1088,171,124,255,542,363,381,448,-,467,87,90
Hombres,3304,34,397,369,479,583,91,66,135,272,167,176,209,-,234,44,48
Mujeres,4321,32,310,1562,426,505,80,58,120,270,196,205,239,-,233,43,42
Santiago de Cuba,8233,44,746,2572,596,1167,145,222,176,451,289,228,556,594,-,359,88
Hombres,3433,31,424,478,317,618,62,124,92,230,144,112,296,302,-,171,32
Mujeres,4800,13,322,2094,279,549,83,98,84,221,145,116,260,292,-,188,56
Guantánamo,5679,31,510,1633,599,682,80,101,171,339,235,155,444,171,433,-,95
Hombres,2521,15,318,358,341,345,45,51,92,173,114,70,238,88,224,-,49
Mujeres,3158,16,192,1275,258,337,35,50,79,166,121,85,206,83,209,-,46
Isla de la Juventud,1382,45,111,601,127,82,30,17,18,25,37,42,55,87,59,46,-
Hombres,539,28,65,109,64,40,19,11,9,15,19,26,35,49,28,22,-
Mujeres,843,17,46,492,63,42,11,6,9,10,18,16,20,38,31,24,-
2013,,,,,,,,,,,,,,,,,
Cuba,63996,1400,4957,16851,4190,5612,3041,2133,2756,3918,4428,2717,3921,2940,2307,1896,929
Hombres,32074,679,2624,8096,2222,2873,1605,1046,1404 ,1973,2192,1352,2024,1462,1107,930,485
Mujeres,31922,721,2333,8755,1968,2739,1436,1087,1352 ,1945,2236,1365,1897,1478,1200,966,444
Pinar del Río,2284,0,708,956,115,110,35,33,34,27,38,17,52,29,37,35,58
Hombres,1121,0,365,451,60,55,14,17,15 ,11,19,9,26,12,16,18,33
Mujeres,1163,0,343,505,55,55,21,16,19 ,16,19,8,26,17,21,17,25
Artemisa,3447,544,0,1660,222,122,64,49,56,49,93,66,104,185,95,88,50
Hombres,1731,273,0,810,118,58,36,27,28,30,50,42,56,90,42,46,25
Mujeres,1716,271,0,850,104,64,28,22,28,19,43,24,48,95,53,42,25
La Habana,5791,291,848,0,826,463,361,206,233,246,366,278,445,416,335,291,186
Hombres,3009,139,456,0,452,231,193,108,127,118,160,140,243,219,167,156,100
Mujeres,2782,152,392,0,374,232,168,98,106,128,206,138,202,197,168,135,86
Mayabeque,3426,52,344,1622,0,319,51,57,33,62,99,73,211,220,102,141,40
Hombres,1781,25,181,798,0,164,32,26,16,32,57,42,124,130,54,81,19
Mujeres,1645,27,163,824,0,155,19,31,17,30,42,31,87,90,48,60,21
Matanzas,2738,40,109,693,187,0,350,171,122,116,174,96,180,198,156,115,31
Hombres,1406,20,61,351,90,0,195,88,71,59,98,38,81,102,74,63,15
Mujeres,1332,20,48,342,97,0,155,83,51,57,76,58,99,96,82,52,16
Villa Clara,3321,28,79,826,74,691,0,494,570,186,128,64,68,50,21,29,13
Hombres,1638,11,40,388,46,374,0,230,286,83,60,34,35,21,11,14,5
Mujeres,1683,17,39,438,28,317,0,264,284,103,68,30,33,29,10,15,8
Cienfuegos,1775,31,54,398,52,244,419,0,147,55,110,57,62,53,51,28,14
Hombres,903,16,30,189,24,139,200,0,76,23,57,29,41,33,25,13,8
Mujeres,872,15,24,209,28,105,219,0,71,32,53,28,21,20,26,15,6
Sancti Spíritus,2490,35,64,472,53,217,691,172,0,358,148,41,111,70,27,21,10
Hombres,1244,16,34,242,24,109,360,72,0,175,66,20,63,32,13,15,3
Mujeres,1246,19,30,230,29,108,331,100,0,183,82,21,48,38,14,6,7
Ciego de Ávila,3015,24,108,588,94,172,183,80,371,0,555,118,264,218,95,126,19
Hombres,1579,11,58,277,56,96,104,40,196,0,301,58,146,107,57,62,10
Mujeres,1436,13,50,311,38,76,79,40,175,0,254,60,118,111,38,64,9
Camagüey,5513,64,226,1200,240,438,212,167,299,816,0,687,396,314,193,211,50
Hombres,2691,30,121,576,117,201,102,90,147,415,0,328,201,157,79,97,30
Mujeres,2822,34,105,624,123,237,110,77,152,401,0,359,195,157,114,114,20
Las Tunas,3762,29,193,771,165,271,110,86,104,197,796,0,559,230,113,70,68
Hombres,1930,12,111,364,91,149,54,39,55,114,397,0,318,99,62,34,31
Mujeres,1832,17,82,407,74,122,56,47,49,83,399,0,241,131,51,36,37
Holguín,7300,67,466,2182,433,591,162,156,318,554,622,599,0,376,336,329,109
Hombres,3648,36,246,1055,227,309,91,75,167,291,304,309,0,168,176,137,57
Mujeres,3652,31,220,1127,206,282,71,81,151,263,318,290,0,208,160,192,52
Granma,7085,54,698,1855,830,856,177,139,186,547,525,289,448,0,301,89,91
Hombres,3466,22,343,867,420,435,99,74,91,265,255,132,219,0,141,48,55
Mujeres,3619,32,355,988,410,421,78,65,95,282,270,157,229,0,160,41,36
Santiago de Cuba,5158,43,467,1460,344,525,102,179,105,316,342,128,441,360,0,263,83
Hombres,2521,26,261,693,200,253,54,93,50,148,160,52,188,181,0,121,41
Mujeres,2637,17,206,767,144,272,48,86,55,168,182,76,253,179,0,142,42
Guantánamo,5514,44,473,1628,456,531,84,119,151,358,387,148,497,136,395,0,107
Hombres,2726,22,257,769,243,270,51,57,68,196,185,85,238,65,167,0,53
Mujeres,2788,22,216,859,213,261,33,62,83,162,202,63,259,71,228,0,54
Isla de la Juventud,1377,54,120,540,99,62,40,25,27,31,45,56,83,85,50,60,0
Hombres,680,20,60,266,54,30,20,10,11,13,23,34,45,46,23,25,0
Mujeres,697,34,60,274,45,32,20,15,16,18,22,22,38,39,27,35,0
2014,,,,,,,,,,,,,,,,,
Cuba,48501,1232,3432,13215,3630,4007,2178,1452,2098,3339,2811,1866,2815,2142,2447,1267,570
Hombres,24485,602,1805,6381,1897,2079,1092,750,1106 ,1750,1389,921,1469,1092,1226,625,301
Mujeres,24016,630,1627,6834,1733,1928,1086,702,992 ,1589,1422,945,1346,1050,1221,642,269
Pinar del Río,1669,-,499,747,98,54,29,17,21,13,20,23,27,27,51,13,30
Hombres,857,-,254,398,42,20,12,8,12 ,8,6,12,16,13,35,6,15
Mujeres,812,-,245,349,56,34,17,9,9 ,5,14,11,11,14,16,7,15
Artemisa,2539,343,-,1228,196,61,37,26,31,54,57,47,95,137,128,74,25
Hombres,1276,174,-,589,100,31,20,14,15,33,31,21,51,71,73,38,15
Mujeres,1263,169,-,639,96,30,17,12,16,21,26,26,44,66,55,36,10
La Habana,4238,317,514,-,833,313,228,117,160,173,259,145,310,244,344,184,97
Hombres,2190,138,258,-,424,166,110,63,82,108,126,76,175,133,170,110,51
Mujeres,2048,179,256,-,409,147,118,54,78,65,133,69,135,111,174,74,46
Mayabeque,2629,178,213,1109,-,192,38,39,31,77,60,77,179,210,112,88,26
Hombres,1328,84,110,527,-,96,19,22,19,41,31,41,92,119,60,55,12
Mujeres,1301,94,103,582,-,96,19,17,12,36,29,36,87,91,52,33,14
Matanzas,2113,28,44,443,137,-,242,121,99,264,103,60,104,184,164,91,29
Hombres,1076,16,22,233,69,-,136,66,48,128,41,29,52,97,79,41,19
Mujeres,1037,12,22,210,68,-,106,55,51,136,62,31,52,87,85,50,10
Villa Clara,2387,21,47,614,66,474,-,322,416,89,79,66,66,41,42,36,8
Hombres,1201,13,25,299,30,239,-,165,201,43,47,41,34,19,20,20,5
Mujeres,1186,8,22,315,36,235,-,157,215,46,32,25,32,22,22,16,3
Cienfuegos,1222,26,34,302,17,163,271,-,115,28,54,32,58,40,60,16,6
Hombres,636,14,16,169,9,95,132,-,56,16,26,13,33,19,27,7,4
Mujeres,586,12,18,133,8,68,139,-,59,12,28,19,25,21,33,9,2
Sancti Spíritus,1651,19,41,303,32,118,467,127,0,222,77,31,93,46,41,25,9
Hombres,817,13,16,146,20,68,222,58,0,113,41,14,49,19,24,11,3
Mujeres,834,6,25,157,12,50,245,69,0,109,36,17,44,27,17,14,6
Ciego de Ávila,2190,25,69,438,92,152,184,76,275,-,298,74,175,120,119,80,13
Hombres,1108,8,36,211,53,76,84,37,160,-,147,43,84,60,67,35,7
Mujeres,1082,17,33,227,39,76,100,39,115,-,151,31,91,60,52,45,6
Camagüey,3404,46,141,833,156,273,125,88,153,482,-,367,220,211,180,92,37
Hombres,1704,22,81,393,84,133,66,41,70,247,-,185,112,113,104,37,16
Mujeres,1700,24,60,440,72,140,59,47,83,235,-,182,108,98,76,55,21
Las Tunas,2840,22,134,619,153,173,116,80,104,187,502,-,410,165,107,38,30
Hombres,1423,11,78,298,76,86,67,44,51,93,238,-,207,83,54,16,21
Mujeres,1417,11,56,321,77,87,49,36,53,94,264,-,203,82,53,22,9
Holguín,5261,35,323,1645,299,409,125,89,241,417,380,475,-,249,306,209,59
Hombres,2667,14,171,791,168,210,61,52,136,221,198,231,-,127,158,93,36
Mujeres,2594,21,152,854,131,199,64,37,105,196,182,244,-,122,148,116,23
Granma,5387,41,506,1454,655,628,120,84,156,438,298,214,321,-,349,62,61
Hombres,2673,31,265,683,340,324,62,47,86,229,149,91,150,-,158,22,36
Mujeres,2714,10,241,771,315,304,58,37,70,209,149,123,171,-,191,40,25
Santiago de Cuba,5469,40,516,1837,405,551,90,142,99,346,308,131,393,345,-,220,46
Hombres,2735,14,288,852,212,296,43,72,54,189,142,66,206,167,-,119,15
Mujeres,2734,26,228,985,193,255,47,70,45,157,166,65,187,178,-,101,31
Guantánamo,4603,42,303,1247,404,422,79,108,183,528,286,89,321,89,408,-,94
Hombres,2335,25,160,605,220,223,45,52,110,267,150,40,185,35,172,-,46
Mujeres,2268,17,143,642,184,199,34,56,73,261,136,49,136,54,236,-,48
Isla de la Juventud,899,49,48,396,87,24,27,16,14,21,30,35,43,34,36,39,-
Hombres,459,25,25,187,50,16,13,9,6,14,16,18,23,17,25,15,-
Mujeres,440,24,23,209,37,8,14,7,8,7,14,17,20,17,11,24,-
2015,,,,,,,,,,,,,,,,,
Cuba,80581,1700,5962,23136,5830,7108,3673,2118,3079,4832,4744,3087,4744,3446,4058,2118,946
Hombres,41524,923,3230,11395,3056,3691,1929,1109,1601 ,2455,2373,1653,2478,1846,2127,1137,521
Mujeres,39057,777,2732,11741,2774,3417,1744,1009,1478 ,2377,2371,1434,2266,1600,1931,981,425
Pinar del Río,2872,-,781,1380,149,108,50,34,43,27,37,35,49,52,61,11,55
Hombres,1462,-,397,687,75,66,28,17,25 ,12,18,19,21,29,34,8,26
Mujeres,1410,-,384,693,74,42,22,17,18 ,15,19,16,28,23,27,3,29
Artemisa,4127,562,-,2027,306,118,60,39,44,86,105,75,171,202,186,95,51
Hombres,2168,299,-,1009,145,68,29,18,25,48,63,41,93,136,101,57,36
Mujeres,1959,263,-,1018,161,50,31,21,19,38,42,34,78,66,85,38,15
La Habana,7368,454,1025,-,1028,433,497,205,227,265,474,329,678,529,635,410,179
Hombres,4154,241,560,-,550,233,277,118,121,137,270,196,388,305,396,260,102
Mujeres,3214,213,465,-,478,200,220,87,106,128,204,133,290,224,239,150,77
Mayabeque,4005,62,293,1961,-,333,58,41,39,76,101,119,229,277,214,148,54
Hombres,2098,32,156,1010,-,158,31,22,18,35,57,73,124,156,113,81,32
Mujeres,1907,30,137,951,-,175,27,19,21,41,44,46,105,121,101,67,22
Matanzas,3551,86,126,958,338,-,390,187,170,91,214,108,222,236,261,133,31
Hombres,1888,50,66,482,197,-,212,118,81,44,114,60,119,130,124,73,18
Mujeres,1663,36,60,476,141,-,178,69,89,47,100,48,103,106,137,60,13
Villa Clara,3758,43,113,1048,87,710,-,450,595,215,144,48,82,89,84,28,22
Hombres,1916,26,69,508,37,368,-,222,310,106,76,29,46,43,52,14,10
Mujeres,1842,17,44,540,50,342,-,228,285,109,68,19,36,46,32,14,12
Cienfuegos,2106,44,55,581,61,272,436,-,177,49,76,46,94,60,103,43,9
Hombres,1057,20,32,278,35,151,226,-,80,26,36,26,43,29,51,19,5
Mujeres,1049,24,23,303,26,121,210,-,97,23,40,20,51,31,52,24,4
Sancti Spíritus,3089,22,61,595,78,267,805,187,-,458,172,79,173,73,41,64,14
Hombres,1571,12,40,299,46,123,412,88,-,239,71,48,88,43,20,34,8
Mujeres,1518,10,21,296,32,144,393,99,-,219,101,31,85,30,21,30,6
Ciego de Ávila,3255,16,116,677,135,206,227,69,343,-,496,121,289,199,219,122,20
Hombres,1711,9,69,333,76,107,125,39,180,-,246,64,168,108,121,57,9
Mujeres,1544,7,47,344,59,99,102,30,163,-,250,57,121,91,98,65,11
Camagüey,6077,45,257,1463,272,524,275,143,301,909,-,577,455,319,363,140,34
Hombres,3046,25,152,698,148,263,143,79,155,439,-,293,220,150,191,73,17
Mujeres,3031,20,105,765,124,261,132,64,146,470,-,284,235,169,172,67,17
Las Tunas,4537,51,214,1018,288,351,142,98,153,244,847,-,623,215,171,79,43
Hombres,2318,34,125,521,155,182,70,49,80,119,411,-,320,105,87,35,25
Mujeres,2219,17,89,497,133,169,72,49,73,125,436,-,303,110,84,44,18
Holguín,8766,79,506,2800,472,762,208,164,384,759,573,724,-,430,529,280,96
Hombres,4534,46,299,1406,247,377,113,83,206,378,285,390,-,242,259,144,59
Mujeres,4232,33,207,1394,225,385,95,81,178,381,288,334,-,188,270,136,37
Granma,9383,82,969,2549,1149,1102,211,142,230,671,597,400,535,-,530,104,112
Hombres,4744,46,490,1267,575,590,105,79,130,349,282,203,261,-,264,52,51
Mujeres,4639,36,479,1282,574,512,106,63,100,322,315,197,274,-,266,52,61
Santiago de Cuba,9286,52,810,3228,616,1119,185,234,141,544,445,246,599,542,-,426,99
Hombres,4620,30,431,1521,328,592,94,114,72,292,213,112,308,248,-,212,53
Mujeres,4666,22,379,1707,288,527,91,120,69,252,232,134,291,294,-,214,46
Guantánamo,6955,44,517,2131,725,714,104,107,212,419,432,139,494,172,618,-,127
Hombres,3498,21,283,1021,379,371,51,54,108,222,218,74,244,89,293,-,70
Mujeres,3457,23,234,1110,346,343,53,53,104,197,214,65,250,83,325,-,57
Isla de la Juventud,1446,58,119,720,126,89,25,18,20,19,31,41,51,51,43,35,-
Hombres,739,32,61,355,63,42,13,9,10,9,13,25,35,33,21,18,-
Mujeres,707,26,58,365,63,47,12,9,10,10,18,16,16,18,22,17,-
2016,,,,,,,,,,,,,,,,,
Cuba,82514,1632,6667,22850,5289,7891,3733,2744,3336,4943,4859,3055,4712,3401,4094,2281,1027
Hombres,41792,862,3559,10942,2783,4125,1896,1341,1759 ,2571,2390,1570,2412,1765,2048,1202,567
Mujeres,40722,770,3108,11908,2506,3766,1837,1403,1577 ,2372,2469,1485,2300,1636,2046,1079,460
Pinar del Río,2963,-,955,1277,121,125,63,41,36,39,38,26,44,46,69,22,61
Hombres,1424,-,454,591,66,76,29,22,18 ,18,19,16,19,27,32,10,27
Mujeres,1539,-,501,686,55,49,34,19,18 ,21,19,10,25,19,37,12,34
Artemisa,4183,506,-,2008,247,111,81,43,64,86,85,95,207,274,203,112,61
Hombres,2187,259,-,991,131,60,42,28,39,47,48,57,120,145,119,67,34
Mujeres,1996,247,-,1017,116,51,39,15,25,39,37,38,87,129,84,45,27
La Habana,7742,423,1061,-,908,722,486,284,315,298,531,353,592,488,698,380,203
Hombres,4158,211,584,-,461,392,226,152,159,163,281,198,315,264,400,244,108
Mujeres,3584,212,477,-,447,330,260,132,156,135,250,155,277,224,298,136,95
Mayabeque,4036,63,334,1833,-,410,58,34,57,86,100,95,245,247,223,169,82
Hombres,2068,28,161,882,-,208,32,16,32,53,59,60,142,134,119,100,42
Mujeres,1968,35,173,951,-,202,26,18,25,33,41,35,103,113,104,69,40
Matanzas,3764,87,157,1005,260,-,401,227,160,135,232,106,237,283,278,180,16
Hombres,1882,60,71,469,138,-,203,111,92,74,114,43,126,139,139,94,9
Mujeres,1882,27,86,536,122,-,198,116,68,61,118,63,111,144,139,86,7
Villa Clara,4007,36,101,878,62,823,-,677,712,211,150,69,95,67,69,32,25
Hombres,2030,20,57,406,40,429,-,308,403,113,68,44,47,33,32,17,13
Mujeres,1977,16,44,472,22,394,-,369,309,98,82,25,48,34,37,15,12
Cienfuegos,2142,19,90,524,60,304,421,-,220,69,88,70,90,61,68,44,14
Hombres,1090,8,53,263,30,164,199,-,110,34,43,38,50,34,36,21,7
Mujeres,1052,11,37,261,30,140,222,-,110,35,45,32,40,27,32,23,7
Sancti Spíritus,3076,28,78,501,73,248,834,236,-,491,157,68,162,77,60,45,18
Hombres,1581,13,43,231,46,125,420,126,-,269,80,39,84,42,31,25,7
Mujeres,1495,15,35,270,27,123,414,110,-,222,77,29,78,35,29,20,11
Ciego de Ávila,3328,28,135,644,101,219,235,58,364,-,520,130,325,214,204,130,21
Hombres,1674,17,75,300,52,122,116,35,182,-,249,60,175,107,99,74,11
Mujeres,1654,11,60,344,49,97,119,23,182,-,271,70,150,107,105,56,10
Camagüey,5880,59,231,1381,241,553,230,208,301,859,-,609,400,287,286,196,39
Hombres,2962,29,124,656,134,275,123,105,149,439,-,326,204,146,136,88,28
Mujeres,2918,30,107,725,107,278,107,103,152,420,-,283,196,141,150,108,11
Las Tunas,4648,39,226,1161,200,372,129,114,167,277,834,-,591,235,185,53,65
Hombres,2340,23,130,553,109,201,76,49,85,129,389,-,314,129,83,32,38
Mujeres,2308,16,96,608,91,171,53,65,82,148,445,-,277,106,102,21,27
Holguín,8951,69,579,2887,570,843,232,212,294,636,555,722,-,398,540,312,102
Hombres,4585,39,333,1454,324,439,131,93,160,323,277,344,-,195,258,154,61
Mujeres,4366,30,246,1433,246,404,101,119,134,313,278,378,-,203,282,158,41
Granma,9666,90,1056,2692,1093,1188,229,204,259,704,559,296,507,-,577,109,103
Hombres,4762,47,548,1252,564,619,124,99,123,362,268,144,237,-,263,53,59
Mujeres,4904,43,508,1440,529,569,105,105,136,342,291,152,270,-,314,56,44
Santiago de Cuba,9817,67,974,3285,599,1195,187,251,182,545,533,232,676,541,-,454,96
Hombres,4871,43,527,1573,303,616,93,125,93,291,257,116,302,275,-,205,52
Mujeres,4946,24,447,1712,296,579,94,126,89,254,276,116,374,266,-,249,44
Guantánamo,6974,69,609,2157,651,709,121,128,191,482,426,124,474,144,568,-,121
Hombres,3510,37,355,1033,327,371,67,61,105,241,215,56,232,75,264,-,71
Mujeres,3464,32,254,1124,324,338,54,67,86,241,211,68,242,69,304,-,50
Isla de la Juventud,1337,49,81,617,103,69,26,27,14,25,51,60,67,39,66,43,-
Hombres,668,28,44,288,58,28,15,11,9,15,23,29,45,20,37,18,-
Mujeres,669,21,37,329,45,41,11,16,5,10,28,31,22,19,29,25,-
2017,,,,,,,,,,,,,,,,,
Cuba,76300,,,,,,,,,,,,,,,,
Hombres,38764,,,,,,,,,,,,,,,,
Mujeres,37536,,,,,,,,,,,,,,,,
Pinar del Río,1443,-,487,385,60,64,19,28,25,22,42,30,71,69,50,43,48
Hombres,735,-,255,191,34,32,6,12,17,14,22,14,42,34,28,11,23
Mujeres,708,-,232,194,26,32,13,16,8,8,20,16,29,35,22,32,25
Artemisa,6570,1079,-,1024,266,124,102,66,67,118,272,255,566,1042,877,587,125
Hombres,3473,517,-,518,133,67,53,33,32,61,160,139,314,568,494,315,69
Mujeres,3097,562,-,506,133,57,49,33,35,57,112,116,252,474,383,272,56
La Habana,21868,1282,1815,-,1721,913,908,473,441,660,1414,1032,3038,2562,2946,2062,601
Hombres,10765,568,923,-,903,471,457,226,222,326,697,523,1509,1196,1407,1063,274
Mujeres,11103,714,892,-,818,442,451,247,219,334,717,509,1529,1366,1539,999,327
Mayabeque,5422,128,245,926,-,310,78,61,66,128,241,213,533,1154,596,632,111
Hombres,2817,52,116,473,-,175,41,31,32,63,139,114,292,585,308,345,51
Mujeres,2605,76,129,453,-,135,37,30,34,65,102,99,241,569,288,287,60
Matanzas,7483,125,122,562,377,-,810,260,277,237,544,364,711,1138,1108,764,84
Hombres,3886,61,64,292,200,-,422,150,137,119,266,197,373,611,561,382,51
Mujeres,3597,64,58,270,177,-,388,110,140,118,278,167,338,527,547,382,33
Villa Clara,3238,44,49,410,48,315,-,466,679,198,170,137,185,203,185,114,35
Hombres,1621,19,31,210,22,157,-,223,342,100,93,75,95,86,94,60,14
