Población residente y densidad de población según zona urbana y rural por municipios,-,--,---,----,-----,------,--------
PROVINCIA Y MUNICIPIOS, Total, Urbana, Rural, Total, Urbana, Rural, (hab/km 2 )
Provincia, 402 855, 331 896, 70 959, 401 738, 330 971, 70 767, 41 886
Aguada, 31 562, 28 161, 3 401, 31 279, 27 896, 3 383, 6 556
Rodas, 32 937, 22 477, 10 460, 32 719, 22 292, 10 427, 5 727
Palmira, 32 064, 26 044, 6 020, 31 813, 25 806, 6 007, 3 104
Lajas, 21 342 ,14 904, 6 438, 21 187, 14 777, 6 410, 4 327
Cruces, 29 196, 20 604, 8 592, 28 977 ,20 391 ,8 586 ,1 934
Cumanayagua, 47 493 ,31 360, 16 133, 47 118 ,31 073 ,16 045 ,10 893
Cienfuegos, 177 892, 166 712, 11 180, 178 368, 167 166, 11 202 ,3 556
Abreus, 30 369 ,21 634, 8 735 ,30 277 ,21 570, 8 707 ,5 791