Población residente clasificada por sexo grupos de edades y municipios año 2022 ,-,--,---,----,-----,------,-------
MUNICIPIOS Y SEXOS, EDADES,-,-,-,-,-,-
-,35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65 y más
Provincia, 26 445, 21 461, 28 434, 36 140, 37 595, 26 417, 63 120
Hombres, 13 484, 11 023, 14 322, 18 056, 18 568, 13 190, 29 556
Mujeres, 12 961, 10 438, 14 112, 18 084, 19 027, 13 227, 33 564
Aguada de Pasajeros, 2 069, 1 731, 2 383, 2 588, 2 664, 1 934, 5 106
Hombres, 1041,  916, 1 195, 1 337, 1 309, 972, 2 473
Mujeres, 1028, 815, 1 188, 1 251, 1 355, 962, 2 633
Rodas, 2 110, 1 867, 2 395, 3 003, 3 070, 2 145, 5 369
Hombres, 1118,  978, 1 197, 1 537, 1 556, 1 109, 2 637
Mujeres, 992, 889, 1 198, 1 466, 1 514, 1 036, 2 732
Palmira, 1 966, 1 688, 2 343, 2 927, 2 912, 1 958, 5 023
Hombres, 993, 878, 1 202, 1 474, 1 497, 980, 2 371
Mujeres, 973 ,810 ,1 141 ,1 453 ,1 415 ,978 ,2 652
Lajas, 1 331, 1 124, 1 498, 1 931, 1 862, 1 261, 3 736
Hombres, 693 ,575 ,777 ,984 ,951 ,654 ,1 850
Mujeres, 638 ,549 ,721 ,947 ,911, 607, 1 886
Cruces, 1 831 ,1 435 ,2 022 ,2 788 ,2 755 ,1 866 ,5 140
Hombres, 960 ,742 ,1 063 ,1 424 ,1 365 ,999 ,2 321
Mujeres, 871 ,693 ,959 ,1 364 ,1 390 ,867 ,2 819
Cumanayagua, 3 045 ,2 481 ,3 582 ,4 271 ,4 403 ,3 111 ,7 713
Hombres, 1 600 ,1 330 ,1 881 ,2 126 ,2 294 ,1 564 ,3 821
Mujeres, 1 445 ,1 151 ,1 701 ,2 145 ,2 109 ,1 547 ,3 892
Cienfuegos, 12 092 ,9 450 ,11 982 ,15 902 ,17 284 ,12 256 ,26 707
Hombres, 6 066 ,4 723 ,5 868 ,7 743 ,8 250 ,5 941 ,11 879
Mujeres, 6 026 ,4 727 ,6 114, 8 159, 9 034 ,6 315 ,14 828
Abreus, 2 001 ,1 685 ,2 229 ,2 730 ,2 645 ,1 886 ,4 326
Hombres, 1 013 ,881 ,1 139 ,1 431 ,1 346 971 ,2 204
Mujeres, 988 ,804 ,1 090 ,1 299 ,1 299 ,915 ,2 122